0.5,0,0,-0
1.5,1,0,-0
2.442,0.336,0,-0
2.67,0.175,0,-0
2.67,0,0,-0
2.67,-0.175,0,-0
2.442,-0.336,0,-0
1.5,-1,0,-0
2.705,0.14,0,-0
2.705,-0.14,0,-0
3.2,0.14,0,-0
3.2,-0.14,0,-0
3.34,0,0,-0
0.50128,0.05063,0,-0
0.50513,0.10114,0,-0
0.51153,0.15141,0,-0
0.52047,0.20129,0,-0
0.53192,0.25065,0,-0
0.54586,0.29936,0,-0
0.56225,0.3473,0,-0
0.58104,0.39435,0,-0
0.6022,0.44039,0,-0
0.62565,0.4853,0,-0
0.65136,0.52896,0,-0
0.67924,0.57127,0,-0
0.70922,0.61211,0,-0
0.74124,0.65137,0,-0
0.77521,0.68897,0,-0
0.81103,0.72479,0,-0
0.84863,0.75876,0,-0
0.88789,0.79078,0,-0
0.92873,0.82076,0,-0
0.97104,0.84864,0,-0
1.0147,0.87435,0,-0
1.0596,0.8978,0,-0
1.1056,0.91896,0,-0
1.1527,0.93775,0,-0
1.2006,0.95414,0,-0
1.2494,0.96808,0,-0
1.2987,0.97953,0,-0
1.3486,0.98847,0,-0
1.3989,0.99487,0,-0
1.4494,0.99872,0,-0
1.5511,0.99869,0,-0
1.6022,0.99477,0,-0
1.6529,0.98824,0,-0
1.7033,0.97912,0,-0
1.7531,0.96745,0,-0
1.8022,0.95324,0,-0
1.8506,0.93653,0,-0
1.898,0.91737,0,-0
1.9444,0.89582,0,-0
1.9897,0.87191,0,-0
2.0336,0.84573,0,-0
2.0762,0.81733,0,-0
2.1173,0.78679,0,-0
2.1567,0.75419,0,-0
2.1945,0.71959,0,-0
2.2304,0.6831,0,-0
2.2644,0.64486,0,-0
2.2964,0.60492,0,-0
2.3263,0.5634,0,-0
2.354,0.52042,0,-0
2.3795,0.47606,0,-0
2.4027,0.43045,0,-0
2.4236,0.38373,0,-0
2.462,0.29335,0,-0
2.4899,0.25533,0,-0
2.5246,0.22348,0,-0
2.5642,0.19933,0,-0
2.6027,0.18454,0,-0
2.6371,0.17725,0,-0
2.67,0.14382,0,-0
2.67,0.11224,0,-0
2.67,0.078908,0,-0
2.67,0.041842,0,-0
2.67,-0.041842,0,-0
2.67,-0.078908,0,-0
2.67,-0.11224,0,-0
2.67,-0.14382,0,-0
2.6195,0,0.00023313,2.475e-10
2.5691,0,0.00032239,6.3914e-10
2.5186,0,0.00032325,1.0676e-09
2.4681,0,0.00034651,1.5062e-09
2.4177,0,0.00038586,1.911e-09
2.3672,0,0.00043733,2.2634e-09
2.3167,0,0.0004949,2.5512e-09
2.2663,0,0.00056061,2.7813e-09
2.2158,0,0.00063459,2.9592e-09
2.1653,0,0.00071374,3.093e-09
2.1149,0,0.00079783,3.1886e-09
2.0644,0,0.00088415,3.257e-09
2.014,0,0.00097031,3.3034e-09
1.9635,0,0.0010548,3.3335e-09
1.913,0,0.0011362,3.3515e-09
1.8626,0,0.0012133,3.3613e-09
1.8121,0,0.001285,3.3659e-09
1.7616,0,0.0013501,3.3676e-09
1.7112,0,0.0014078,3.368e-09
1.6607,0,0.0014572,3.368e-09
